"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   
          0,           0,           5,      -5.512535773,      -5.146531914,      -4.867002839,      -3.712176188,               0.5,      0.4534954299,       0.112996331,                 0,                 0,                 0,      0.2510934112,      0.4534954299,       0.112996331,                 0,      0.2491675187,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,           5,       -5.39406233,      -5.122409447,      -4.717631028,      -3.594927341,               0.5,      0.4642894509,       3.070972967,                 0,                 0,                 0,       1.715741393,      0.4642894509,       3.070972967,                 0,       6.614350081,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          2,           0,           5,      -5.418973041,      -5.083814524,      -4.743384782,      -3.621024505,               0.5,      0.4491183513,       2.090569768,                 0,                 0,                 0,        1.23008193,      0.4491183513,       2.090569768,                 0,        4.65483043,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          3,           0,           5,      -5.388756565,      -4.999399599,      -4.711924674,      -3.592211339,               0.5,      0.4313807809,       2.083837514,                 0,                 0,                 0,       1.225576289,      0.4313807809,       2.083837514,                 0,       4.830622056,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          4,           0,           5,      -5.342062147,      -4.913094887,      -4.657936641,      -3.546026631,               0.5,      0.4055559584,       2.076787147,                 0,                 0,                 0,       1.220020189,      0.4055559584,       2.076787147,                 0,       5.120839934,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          5,           0,           5,      -5.315965634,      -4.844413091,      -4.616588399,      -3.519345373,               0.5,       0.373205783,       2.066623374,                 0,                 0,                 0,        1.21193671,       0.373205783,       2.066623374,                 0,        5.53749022,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          6,           0,           5,      -5.304264112,      -4.795034224,       -4.58486804,      -3.505843412,               0.5,      0.3374257874,       2.053078986,                 0,                 0,                 0,       1.201111581,      0.3374257874,       2.053078986,                 0,        6.08453492,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          7,           0,           5,      -5.275954357,      -4.724742347,      -4.532637037,      -3.475294019,               0.5,      0.3017150082,       2.035850608,                 0,                 0,                 0,       1.187197451,      0.3017150082,       2.035850608,                 0,        6.74759476,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          8,           0,           5,      -5.235009922,      -4.639267583,      -4.472691608,      -3.434648822,               0.5,      0.2687731622,       2.014928665,                 0,                 0,                 0,       1.170162533,      0.2687731622,       2.014928665,                 0,       7.496762877,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          9,           0,           5,      -5.219541023,      -4.568961275,      -4.441995291,      -3.421803036,               0.5,      0.2401865408,       1.990818592,                 0,                 0,                 0,       1.150419133,      0.2401865408,       1.990818592,                 0,       8.288635097,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         10,           0,           5,      -5.222819244,       -4.53113139,      -4.453192096,      -3.427620441,               0.5,      0.2169200421,       1.964507614,                 0,                 0,                 0,       1.128642482,      0.2169200421,       1.964507614,                 0,       9.056367475,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         11,           0,           5,      -5.198683638,      -4.545244665,      -4.515681793,      -3.402718185,               0.5,      0.1992531024,       1.937340686,                 0,                 0,                 0,       1.105406791,      0.1992531024,       1.937340686,                 0,        9.72301391,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         12,           0,           5,      -5.160578043,      -4.593537667,      -4.604350635,      -3.361786903,               0.5,      0.1858523908,       1.910409795,                 0,                 0,                 0,        1.08053513,      0.1858523908,       1.910409795,                 0,       10.27917794,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         13,           0,           5,       -5.15382158,      -4.618641319,      -4.656522452,      -3.353000886,               0.5,       0.173370437,       1.883197929,                 0,                 0,                 0,       1.052007512,       0.173370437,       1.883197929,                 0,       10.86227827,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         14,           0,           5,      -5.186892487,       -4.62548766,       -4.64667165,      -3.384685356,               0.5,      0.1573525053,       1.852957325,                 0,                 0,                 0,       1.015435993,      0.1573525053,       1.852957325,                 0,       11.77583618,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         15,           0,           5,      -5.275329672,      -4.646688547,      -4.603755375,      -3.471321859,               0.5,      0.1337904092,       1.815833767,                 0,                 0,                 0,      0.9653201434,      0.1337904092,       1.815833767,                 0,       13.57222672,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
