"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         149,      -5.105568426,      -4.939068088,      -5.361968716,      -6.873743133,      -2.122590343
          1,           0,         149,      -5.146571424,      -3.443355629,      -3.459223133,      -4.298636087,       1.313850475
          2,           0,         149,      -4.959301375,      -3.651482467,      -3.761106375,      -4.085224567,       1.813624803
          3,           0,         149,      -5.164588637,      -4.664146802,      -4.925963179,      -5.700344801,      -2.003954167
          4,           0,         149,      -5.529706358,      -4.817599437,      -5.146203795,      -5.830090702,      -2.191760335
          5,           0,         149,      -5.258588557,      -4.934804314,      -5.377852234,      -6.054664018,      -2.439074001
          6,           0,         149,      -5.884279642,      -5.217652548,      -5.612225484,      -6.216579909,        -2.6246106
          7,           0,         149,      -5.731455474,      -5.308154848,      -5.645640708,      -6.306097217,      -2.725422898
          8,           0,         149,      -5.988515237,      -5.440238527,      -5.736084386,      -6.465980803,      -2.848343358
          9,           0,         149,      -6.017382204,      -5.582713093,      -5.947438369,      -6.656110416,      -2.939765177
         10,           0,         149,       -6.02049962,      -5.703718089,      -6.050634512,      -6.808524494,      -3.023599102
         11,           0,         149,      -6.190303298,      -5.850056737,       -6.16270962,      -6.897075178,      -2.965841388
         12,           0,         149,      -5.888058172,      -5.797194029,      -6.120512539,      -6.942784104,        -3.0204957
         13,           0,         149,      -5.999308976,      -5.860867231,      -6.155689892,      -6.979522864,      -3.085222557
         14,           0,         149,      -6.556822019,      -5.985703784,      -6.136266804,      -7.016088843,      -3.162420778
         15,           0,         149,      -6.315072404,      -5.958122119,      -6.129668645,      -7.058743531,      -3.229191086
         16,           0,         149,      -6.205961486,       -5.94865933,       -6.13201893,      -7.100562608,      -3.282058469
         17,           0,         149,      -6.329576324,      -5.997490456,       -6.16167268,      -7.154261345,      -3.318643511
         18,           0,         149,      -6.496729725,      -6.045458321,      -6.197816289,      -7.217115567,      -3.344652464
         19,           0,         149,      -6.593025527,      -6.085961438,      -6.240070654,       -7.28718511,      -3.372249886
         20,           0,         149,      -6.645131892,      -6.123469698,      -6.277992591,      -7.345343898,      -3.402087676
         21,           0,         149,      -6.741298158,      -6.166469198,      -6.311277985,      -7.395896467,      -3.426813734
         22,           0,         149,        -6.7226558,      -6.195610098,      -6.335482815,      -7.442758411,      -3.446347045
         23,           0,         149,      -6.546443451,      -6.202126701,      -6.361692298,      -7.487517912,       -3.46320831
         24,           0,         149,      -6.436881232,      -6.180285989,      -6.381942031,      -7.532956066,      -3.481387424
         25,           0,         149,      -6.444775623,       -6.19594075,      -6.407509779,      -7.569049607,      -3.499198778
         26,           0,         149,      -6.557152921,      -6.242403091,      -6.427608776,      -7.600273332,      -3.518428031
